Country,YearsCode,YearsCodePro,WorkExp,DevType,Age,EdLevel,LanguageHaveWorkedWith,ConvertedCompYearly
United Kingdom of Great Britain and Northern Ireland,3.0,3.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java,37241.0
United Kingdom of Great Britain and Northern Ireland,20.0,10.0,10.0,"Engineer, data",35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Go;Java;Scala,192414.0
Other,11.0,11.0,,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python;SQL;VBA,63460.0
United States of America,14.0,12.0,22.0,"Engineer, data",35-44 years old,Some college/university study without earning a degree,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,65000.0
United Kingdom of Great Britain and Northern Ireland,23.0,2.0,4.0,"Engineer, data",25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Assembly;Bash/Shell (all shells);C;C#;C++;Lisp;Python;Rust;SQL,55862.0
India,17.0,11.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Python;SQL;VBA;Visual Basic (.Net),50891.0
Spain,15.0,10.0,16.0,Data or business analyst,35-44 years old,Some college/university study without earning a degree,Perl;Python;R;Rust;SQL,37481.0
United States of America,5.0,3.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python,140000.0
United States of America,2.0,1.0,,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python;R;SQL,107000.0
United States of America,30.0,15.0,15.0,Data or business analyst,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C++;Java;JavaScript;PowerShell;Python;Rust;VBA,350000.0
United States of America,25.0,23.0,23.0,"Engineer, data",55-64 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;Lua;PowerShell;SQL,144000.0
Germany,38.0,25.0,,Scientist,55-64 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Delphi;R,155280.0
Belgium,8.0,8.0,8.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Java;JavaScript;Lua;Python;Rust;Scala;SQL;TypeScript,64254.0
Spain,8.0,2.0,2.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,42836.0
United States of America,41.0,27.0,,"Engineer, data",55-64 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C;C++;Fortran;Python;R;SQL,250000.0
United States of America,5.0,2.0,,"Engineer, data",18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Java;Python;SQL,100000.0
Canada,13.0,10.0,8.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;Ruby;SQL,92939.0
Denmark,11.0,6.0,6.0,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;Python;SQL,89180.0
United States of America,12.0,6.0,10.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;HTML/CSS;Java;Kotlin;PowerShell;Python;R;Rust;SQL,56500.0
Israel,9.0,5.0,9.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,118672.0
United Kingdom of Great Britain and Northern Ireland,10.0,3.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;Python;R;Rust;SQL,124138.0
Netherlands,1.0,0.5,2.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,39623.0
United States of America,8.0,6.0,6.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,200000.0
Australia,18.0,3.0,,Data or business analyst,35-44 years old,Some college/university study without earning a degree,PowerShell;SQL;VBA,69409.0
France,5.0,3.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;Python;SQL,49261.0
Austria,20.0,15.0,25.0,Data or business analyst,45-54 years old,"Associate degree (A.A., A.S., etc.)",Python,107090.0
Canada,15.0,1.0,,"Engineer, data",45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Go;Python;SQL,125114.0
United States of America,7.0,0.5,,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;Python;SQL,130000.0
United States of America,5.0,1.0,,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;Java;JavaScript;Python,93000.0
Australia,0.5,0.5,14.0,Data or business analyst,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Apex;HTML/CSS;JavaScript;SQL;TypeScript,79325.0
United States of America,20.0,8.0,12.0,Data or business analyst,25-34 years old,Some college/university study without earning a degree,C#;Go;HTML/CSS;Java;JavaScript;Kotlin;Lua;Python;Solidity;TypeScript,180000.0
Australia,8.0,5.0,7.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++;HTML/CSS;MATLAB;PowerShell;Python;R;SAS;SQL,82630.0
United States of America,12.0,9.0,7.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,300000.0
United Kingdom of Great Britain and Northern Ireland,5.0,2.0,3.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,86897.0
United States of America,19.0,9.0,12.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;Groovy;HTML/CSS;JavaScript;Lua;Perl;PowerShell;Python;R;SQL;Visual Basic (.Net),160000.0
United States of America,10.0,5.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;R;SQL,100000.0
Canada,17.0,7.0,7.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python,101861.0
Other,9.0,4.0,5.0,"Engineer, data",18-24 years old,Some college/university study without earning a degree,Bash/Shell (all shells);C;C++;Java;JavaScript;Python;R;Rust;SQL;TypeScript,69074.0
United States of America,12.0,7.0,,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Groovy;Python;Rust;SQL,124500.0
United States of America,5.0,1.0,,Data or business analyst,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Java;JavaScript;Python,75000.0
United States of America,11.0,5.0,,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python;SQL,260000.0
United States of America,6.0,4.0,,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,300000.0
United States of America,4.0,3.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);HTML/CSS;Python;SQL,160000.0
India,3.0,2.0,1.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Ada;Bash/Shell (all shells);C;C#;Java;JavaScript;Perl;PowerShell;Python;SQL;Visual Basic (.Net),4847.0
United States of America,17.0,2.0,2.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;Fortran;MATLAB;Python,83000.0
India,10.0,7.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,48468.0
Australia,7.0,5.0,5.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Java;Python;Scala;SQL,99156.0
Other,8.0,8.0,,"Engineer, data",35-44 years old,"Associate degree (A.A., A.S., etc.)",Lua;Python;SQL,124388.0
Other,11.0,5.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;Python;SAS;SQL,35841.0
Other,8.0,5.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java;Python;Scala;SQL,29985.0
Poland,13.0,8.0,8.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);Python,64254.0
United Kingdom of Great Britain and Northern Ireland,10.0,3.0,3.0,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);R,47173.0
United Kingdom of Great Britain and Northern Ireland,40.0,23.0,23.0,Data scientist or machine learning specialist,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,86897.0
Other,11.0,6.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Kotlin;Prolog;Python,39623.0
India,7.0,2.0,2.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;SQL,19993.0
Other,8.0,4.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;Python;R;Scala;SQL;TypeScript,42836.0
Poland,35.0,25.0,,"Engineer, data",45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Delphi;SQL,47852.0
Other,15.0,9.0,15.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,17134.0
Italy,25.0,20.0,32.0,Data or business analyst,55-64 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Delphi;HTML/CSS;JavaScript;Python;R;SQL,37481.0
Other,15.0,8.0,8.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Lisp;Perl;PHP;Python;R;SQL,130649.0
Israel,9.0,5.0,4.0,Data scientist or machine learning specialist,25-34 years old,Some college/university study without earning a degree,Python;SQL,100230.0
Other,6.0,6.0,6.0,Scientist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;Perl;Python;R,22489.0
United States of America,10.0,6.0,6.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Java;JavaScript;Python;SQL,165000.0
Other,2.0,3.0,3.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++;HTML/CSS;Python,7434.0
Other,7.0,3.0,3.0,"Engineer, data",18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);JavaScript;PowerShell;Python,12252.0
Brazil,8.0,7.0,8.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python;R,40575.0
Other,4.0,1.0,2.0,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;C++;HTML/CSS;Java;Kotlin;PHP;PowerShell;Python;Ruby,6637.0
United States of America,29.0,24.0,25.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;SAS;SQL,180000.0
Other,1.0,1.0,,Data or business analyst,18-24 years old,Some college/university study without earning a degree,Python;SQL,17319.0
Other,3.0,3.0,3.0,Data or business analyst,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Delphi,8910.0
Other,30.0,25.0,25.0,"Engineer, data",45-54 years old,Some college/university study without earning a degree,HTML/CSS;JavaScript;PHP;SQL,43298.0
United States of America,15.0,4.0,4.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,109000.0
United States of America,7.0,5.0,,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python;SQL,135000.0
Canada,12.0,8.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Cobol;Python;Scala;SQL,185879.0
United States of America,8.0,5.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Go;HTML/CSS;Python;SQL,129500.0
United States of America,7.0,5.0,,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,112000.0
Netherlands,10.0,6.0,6.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);GDScript;HTML/CSS;JavaScript;PowerShell;Python,72821.0
United Kingdom of Great Britain and Northern Ireland,3.0,1.0,,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;Python,69517.0
United Kingdom of Great Britain and Northern Ireland,7.0,4.0,4.0,"Engineer, data",25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",JavaScript;Python;Scala;SQL,75724.0
Germany,2.0,0.5,1.0,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;R;SQL,53545.0
Denmark,4.0,0.5,1.0,Data or business analyst,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells);Python;Rust,55213.0
Netherlands,10.0,4.0,,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,92632.0
United Kingdom of Great Britain and Northern Ireland,3.0,1.0,,"Engineer, data",18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;SQL,32276.0
United States of America,25.0,22.0,,Data or business analyst,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PowerShell;Python,91000.0
Other,6.0,4.0,,"Engineer, data",18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Python;Scala;TypeScript,53545.0
United States of America,30.0,25.0,30.0,Scientist,65 years or older,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Delphi;Fortran,150000.0
United States of America,30.0,28.0,,"Engineer, data",45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Delphi;Python,170000.0
United States of America,4.0,2.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;TypeScript,104000.0
United States of America,7.0,2.0,2.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;Python;R;SQL,96000.0
India,6.0,2.0,,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Python;SQL,19908.0
United States of America,22.0,20.0,15.0,Data scientist or machine learning specialist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python;SQL,160000.0
United States of America,10.0,2.0,,Data or business analyst,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;Python;R,92000.0
Other,2.0,2.0,,"Engineer, data",35-44 years old,Some college/university study without earning a degree,HTML/CSS;JavaScript;Python;SQL,19420.0
United States of America,12.0,10.0,,"Engineer, data",25-34 years old,Some college/university study without earning a degree,Assembly;C++;JavaScript;Python;Rust;SQL;TypeScript,120000.0
Other,7.0,5.0,6.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL,69608.0
United States of America,50.0,50.0,,"Engineer, data",65 years or older,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++;Delphi;Fortran;MATLAB;Python;VBA,205000.0
Italy,3.0,2.0,2.0,"Engineer, data",18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Dart;HTML/CSS;MATLAB;Python;R;SQL,38552.0
France,7.0,7.0,,"Engineer, data",18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,107090.0
Poland,8.0,6.0,6.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;SQL,47852.0
Poland,7.0,5.0,,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Python;SQL;VBA,43067.0
United States of America,8.0,4.0,4.0,Data scientist or machine learning specialist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;Lisp;Python;R,150000.0
Germany,5.0,4.0,,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;Python;R;SQL,77104.0
United States of America,7.0,5.0,7.0,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;Python;SQL,120000.0
Finland,10.0,10.0,10.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",C++;Python,98522.0
United States of America,20.0,13.0,15.0,Data or business analyst,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Julia;Python;R;SQL,114000.0
United States of America,10.0,4.0,4.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;SQL,120000.0
United States of America,3.0,0.5,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Python;SQL,100000.0
Other,7.0,1.0,1.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,66130.0
Netherlands,8.0,8.0,,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,44978.0
United States of America,2.0,1.0,,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",SQL,60000.0
Brazil,8.0,8.0,8.0,Data or business analyst,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Delphi;HTML/CSS;JavaScript;Python;SQL,16230.0
United States of America,2.0,2.0,,Data or business analyst,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,120000.0
United Kingdom of Great Britain and Northern Ireland,8.0,2.0,,Data or business analyst,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript;Python,37241.0
India,7.0,5.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,19993.0
United Kingdom of Great Britain and Northern Ireland,2.0,2.0,,Data or business analyst,18-24 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Python,39724.0
United States of America,8.0,5.0,10.0,Scientist,25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);PowerShell;Python,160000.0
Other,6.0,0.5,1.0,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Dart;Python;SQL,16599.0
United States of America,15.0,15.0,,Scientist,55-64 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;C++;Delphi;PowerShell;SQL;VBA,90000.0
Other,18.0,15.0,15.0,"Engineer, data",35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;JavaScript;Scala,24000.0
Canada,5.0,3.0,5.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL;VBA,74351.0
United States of America,38.0,31.0,,Scientist,55-64 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Delphi;HTML/CSS;JavaScript;Python;VBA,178000.0
Poland,4.0,0.5,,"Engineer, data",18-24 years old,Some college/university study without earning a degree,C#;Python,76564.0
Italy,35.0,30.0,25.0,Data or business analyst,45-54 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Delphi;SQL;VBA,69608.0
Australia,7.0,7.0,,"Engineer, data",35-44 years old,Some college/university study without earning a degree,Flow;HTML/CSS;JavaScript;PowerShell;Python;R;Rust;SQL;VBA,95851.0
France,4.0,0.5,,Scientist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;MATLAB;Python;SQL,42836.0
Other,5.0,0.5,5.0,Scientist,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python,2625.0
India,10.0,5.0,,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;Python;Rust;Scala;SQL,72701.0
Italy,8.0,4.0,4.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",MATLAB;Python;VBA,48190.0
United States of America,16.0,16.0,,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C++;PowerShell;Python;SQL,225000.0
United States of America,25.0,25.0,33.0,Data or business analyst,45-54 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C++;SQL;TypeScript,190000.0
Other,18.0,8.0,,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;PowerShell;Python;SQL;VBA,57249.0
Netherlands,3.0,2.0,,Data or business analyst,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Go;Python;Rust,67466.0
Belgium,15.0,2.0,2.0,"Engineer, data",25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,107090.0
Other,13.0,3.0,6.0,Data scientist or machine learning specialist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Python;R,85000.0
United States of America,41.0,38.0,39.0,"Engineer, data",65 years or older,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Assembly;Bash/Shell (all shells);C;C++;Cobol;Delphi;Fortran;HTML/CSS;JavaScript;PowerShell;SQL;VBA;Visual Basic (.Net),120000.0
United States of America,7.0,4.0,,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);HTML/CSS;PowerShell;Python;SQL,89000.0
Other,11.0,11.0,15.0,Data scientist or machine learning specialist,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;R;SQL,85672.0
India,13.0,10.0,10.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Go;Java;PowerShell;Python;SQL,72701.0
Other,5.0,5.0,1.0,Data or business analyst,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Dart;HTML/CSS;Java;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,5230.0
United States of America,12.0,6.0,11.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,170000.0
United States of America,7.0,1.0,,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;R;SQL,130000.0
United States of America,12.0,5.0,5.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python;Scala;SQL;TypeScript,175000.0
Other,1.0,1.0,,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;PowerShell;TypeScript,40997.0
Netherlands,18.0,5.0,,Scientist,25-34 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C#;F#;Haskell;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,96381.0
Israel,26.0,9.0,9.0,Data scientist or machine learning specialist,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);JavaScript;Python;SQL,141123.0
United States of America,7.0,5.0,4.0,"Engineer, data",25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;SQL,125000.0
United States of America,5.0,3.0,,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;Dart;HTML/CSS;JavaScript;Python;Rust;TypeScript,70000.0
United Kingdom of Great Britain and Northern Ireland,13.0,3.0,7.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;SQL,68276.0
United States of America,15.0,13.0,,Data or business analyst,35-44 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);PowerShell;Python;SAS;SQL,110000.0
Belgium,14.0,6.0,6.0,"Engineer, data",25-34 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;Python;Scala;SQL,78711.0
United States of America,15.0,10.0,15.0,Data scientist or machine learning specialist,35-44 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;PowerShell;Python;R;SQL,120000.0
Switzerland,3.0,1.0,,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);JavaScript;Python;R;Rust;Scala;SQL,39678.0
United States of America,8.0,0.5,,Data scientist or machine learning specialist,18-24 years old,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);HTML/CSS;Python;R;SQL;VBA,75000.0
Finland,7.0,5.0,7.0,Data scientist or machine learning specialist,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;Python;Rust;SQL;TypeScript,62969.0
Germany,9.0,7.0,,Data or business analyst,25-34 years old,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Python;SQL,61041.0
